"gene","P1_delta","P2_delta","P3_delta","n_pairs_up","n_pairs_down","mean_pair_delta","median_pair_delta","logFC","PValue","FDR","rank_stat","pathway_membership","leading_edge_pathways","any_leading_edge","paired_direction_consistency","gene_level_FDR_lt_0.05"
"PRKCA",-0.993147341224518,2.11371150261833,2.90248058076732,2,1,1.34101491405371,2.11371150261833,1.36426968369492,0.177679232793625,0.999578157159551,1.50592648601334,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"KDSR",2.67826280753567,1.21614506599857,0.000664297731167274,3,0,1.2983573904218,1.21614506599857,1.25130684338483,0.0527489777236871,0.999578157159551,2.30639865699265,"Sphingolipid metabolism","Sphingolipid metabolism",TRUE,"up in 3/3",FALSE
"B4GALT5",2.65768618937455,1.67765606025512,-0.701686014181972,2,1,1.21121874514923,1.67765606025512,1.19086079148182,0.206158009655064,0.999578157159551,1.38678244562116,"Sphingolipid metabolism","Sphingolipid metabolism",TRUE,"up in 2/3",FALSE
"CERS4",4.19356904571956,-0.12312957414174,0.898203813468727,2,1,1.65621442834885,0.898203813468727,1.04943446959055,0.18957925648773,0.999578157159551,1.44491396994839,"Sphingolipid metabolism; Sphingolipid signaling pathway","Sphingolipid metabolism; Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"SGMS1",0.973185769949014,1.11625494099863,0.490472321980383,3,0,0.85997101097601,0.973185769949014,0.879175405793426,0.137761224491458,0.999578157159551,1.66461292735786,"Sphingolipid metabolism; Sphingolipid signaling pathway","Sphingolipid metabolism; Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"RELA",1.69053662040381,0.385613035423362,0.65934386999934,3,0,0.911831175275505,0.65934386999934,0.864033811848241,0.057588485885473,0.999578157159551,2.24797936237239,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"MAPK9",1.31572629964775,1.05676877608887,0.135722530345657,3,0,0.83607253536076,1.05676877608887,0.76782740184455,0.127467220729729,0.999578157159551,1.71820072410679,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"NFKB1",2.92963804427226,-0.199327891789872,-0.0616306472857975,1,2,0.889559835065531,-0.0616306472857975,0.766307400544101,0.264103584315758,0.999578157159551,1.20898049138595,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"down in 2/3",FALSE
"PIK3R3",2.20741587295179,0.938047181257325,-0.437057328371854,2,1,0.902801908612421,0.938047181257325,0.741946361985897,0.208033924464276,0.999578157159551,1.38038837523437,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"B4GALT6",0.703576595614905,1.3046110473911,0.0874926555497941,3,0,0.698560099518599,0.703576595614905,0.67538683777033,0.227636750307964,0.999578157159551,1.31628203252934,"Sphingolipid metabolism","Sphingolipid metabolism",TRUE,"up in 3/3",FALSE
"SPTSSA",-1.05244007492356,1.95840360061521,0.486460230843454,2,1,0.46414125217837,0.486460230843454,0.598014330977308,0.42666001410527,0.999578157159551,0.840569878009314,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"SPTLC1",1.93880307889328,0.113994539142695,-0.0313445997109207,2,1,0.67381767277502,0.113994539142695,0.582143746721015,0.262610255508847,0.999578157159551,1.21316151597738,"Sphingolipid metabolism; Sphingolipid signaling pathway","Sphingolipid metabolism; Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"BID",0.814428962815231,0.225138059108796,0.777925549103307,3,0,0.605830857009112,0.777925549103307,0.571017073214905,0.160221095705905,0.999578157159551,1.56201061564228,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"DEGS1",2.9252194249745,-0.0846056453243502,-0.549918824744428,1,2,0.763564984968574,-0.0846056453243502,0.557095158996168,0.428498381685972,0.999578157159551,0.837871856131015,"Sphingolipid metabolism; Sphingolipid signaling pathway","Sphingolipid metabolism; Sphingolipid signaling pathway",TRUE,"down in 2/3",FALSE
"GNA13",2.04337593223196,-0.806343652024721,0.483690264413676,2,1,0.573574181540305,0.483690264413676,0.509427345559206,0.371579397029709,0.999578157159551,0.95148082386107,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"NRAS",1.95027843014683,-0.586171210626766,0.38166903408604,2,1,0.581925417868701,0.38166903408604,0.509245006084397,0.349253090716552,0.999578157159551,0.999611370278114,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"S1PR1",2.83313941977383,-0.119941526359682,-0.754426348279567,1,2,0.652923848378195,-0.119941526359682,0.506238545726481,0.478218058302748,0.999578157159551,0.74707959347481,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"down in 2/3",FALSE
"BAX",0.478088937767932,0.600615272244466,0.419977340269792,3,0,0.49956051676073,0.478088937767932,0.450529174957006,0.202915094577835,0.999578157159551,1.39772641380851,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"GLA",0.658831912209609,0.0956967026919395,0.696399137376144,3,0,0.483642584092564,0.658831912209609,0.45047378352558,0.325869446054531,0.999578157159551,1.05280686623916,"Glycosphingolipid biosynthesis - globo and isoglobo series; Sphingolipid metabolism","Sphingolipid metabolism",TRUE,"up in 3/3",FALSE
"AKT1",0.119063561697628,0.614587347336297,0.65815689925802,3,0,0.463935936097315,0.614587347336297,0.427587404015662,0.273766572779494,0.999578157159551,1.18267446222889,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"NSMAF",1.32199732256894,0.0803721730103621,0.0389943551848519,3,0,0.480454616921386,0.0803721730103621,0.423011438328321,0.31438916657922,0.999578157159551,1.07975758957921,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"PPP2R5C",-0.126990485133385,1.6963976171309,-0.167107253646464,1,2,0.467433292783684,-0.126990485133385,0.411869217272965,0.429876802258672,0.999578157159551,0.835254279694016,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"down in 2/3",FALSE
"NEU1",-0.00904228980481214,0.469970541136894,0.750614642178368,2,1,0.40384763117015,0.469970541136894,0.394940538087925,0.374029488674822,0.999578157159551,0.946427155517082,"Sphingolipid metabolism","Sphingolipid metabolism",TRUE,"up in 2/3",FALSE
"SAMD8",1.22850071447635,-0.288183458443148,0.38995478350767,2,1,0.443424013180291,0.38995478350767,0.378561938065739,0.411958211344338,0.999578157159551,0.869730023773405,"Sphingolipid metabolism","Sphingolipid metabolism",TRUE,"up in 2/3",FALSE
"PIK3CB",0.658831912209609,0.59374301332173,-0.039276273147216,2,1,0.404432884128041,0.59374301332173,0.360698705476611,0.479661616975522,0.999578157159551,0.744662118235101,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"MAPK3",0.962913169588326,-0.0032286203492129,0.306939551366765,2,1,0.422208033535293,0.306939551366765,0.360561708612286,0.380863226915125,0.999578157159551,0.932168094827602,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"ORMDL1",0.771683362456593,0.414838421011386,0.0340880336948741,3,0,0.406869939054284,0.414838421011386,0.354445989029074,0.347459304978788,0.999578157159551,1.00358253676144,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"SMPD2",-0.337817871150509,0.66815307478678,0.677481432388287,2,1,0.335938878674853,0.66815307478678,0.342767643050835,0.480966185665069,0.999578157159551,0.742331847329999,"Sphingolipid metabolism; Sphingolipid signaling pathway","Sphingolipid metabolism; Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"MAP2K1",0.923873130479218,-0.021207824109263,0.241791495607499,2,1,0.381485600659151,0.241791495607499,0.32658286150525,0.405052040402201,0.999578157159551,0.883258891325261,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"ROCK1",0.934978060369054,0.186995195756403,0.0176924402341143,3,0,0.37988856545319,0.186995195756403,0.325407776861518,0.36980778983538,0.999578157159551,0.955216744985144,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"RAC1",1.15129374094879,0.0125601327594156,-0.0890553371620557,2,1,0.358266178848717,0.0125601327594156,0.303301511177746,0.435390970167436,0.999578157159551,0.824854061293719,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 2/3",FALSE
"GNAI2",0.362987933657798,0.211017084775708,0.32581047914756,3,0,0.299938499193688,0.32581047914756,0.249721858589752,0.458866749801438,0.999578157159551,0.781606946036275,"Sphingolipid signaling pathway","Sphingolipid signaling pathway",TRUE,"up in 3/3",FALSE
"SLC33A1",-0.797933472238942,-1.05850284754561,-0.323136787690244,0,3,-0.726524369158267,-0.797933472238942,-0.789685779541762,0.0801204579886216,0.999578157159551,-2.02889099893352,"Glycosphingolipid biosynthesis - ganglio series","Glycosphingolipid biosynthesis - ganglio series",TRUE,"down in 3/3",FALSE
"ABO",-0.927327445009772,-3.52400372403446,-0.595575605333649,0,3,-1.68230225812596,-0.927327445009772,-2.13422346038106,0.0382503348876248,0.999578157159551,-2.45168731049503,"Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series","Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series",TRUE,"down in 3/3",FALSE
